 property_id,tile_url,latitude,longitude,min_price,max_price,beds_range, prop_display_name,phone_number,bustop_within_100,inside_campus,fitness_within_200m,fitness_within_500m,fitness_within_1000m,market_within_200m,market_within_500m,market_within_1000m,within_unvCen_1km,within_unvCen_2km,within_unvCen_3km
750139,'https://d2cc5bro5bu049.cloudfront.net/18135/7725398/tile.jpg',43.058012,-89.427456,1125,, '2 BR',2509 Monroe St,6082730228,yes,no,no,no,no,no,no,no,no,no,yes
1285646,'https://d2cc5bro5bu049.cloudfront.net/127/10927802/tile.jpg',43.074872,-89.394360,870,1615, 'Studio - 2 BR',536 State St,6082553933,yes,no,no,yes,yes,no,yes,yes,no,no,yes
741279,'https://d2cc5bro5bu049.cloudfront.net/18492/6342494/tile.jpg',43.076434,-89.393872,705,915, 'Studio - 1 BR',228 Langdon St,6082558633,no,no,no,no,yes,no,no,yes,no,no,yes
741281,'https://d2cc5bro5bu049.cloudfront.net/18492/6342510/tile.jpg',43.076884,-89.396684,1220,, '2 BR',616 Mendota Ct,6082558633,no,no,no,yes,yes,no,yes,yes,no,yes,yes
741250,'https://d2cc5bro5bu049.cloudfront.net/18492/6342494/tile.jpg',43.103219,-89.345487,1130,1135, '2 BR',230 Lake Lawn Pl,6082558633,yes,no,no,no,no,no,no,no,no,no,no
740980,'https://d2cc5bro5bu049.cloudfront.net/18492/10951706/tile.jpg',43.076892,-89.389791,740,1565, 'Studio - 2 BR',416 N Carroll St,6082558633,yes,no,no,no,yes,no,yes,yes,no,no,yes
741752,'https://d2cc5bro5bu049.cloudfront.net/18492/6342681/tile.jpg',43.081528,-89.380122,730,1035, 'Studio - 2 BR',643 E Johnson St,6082558633,yes,no,no,no,yes,no,no,yes,no,no,no
3359655,'https://d2cc5bro5bu049.cloudfront.net/88401/28545362/tile.jpg',43.000749,-89.480562,900,, '3 BR',6287 Stone Gate Drive,3022995962,no,no,no,no,no,no,no,no,no,no,no
1983704,'https://d2cc5bro5bu049.cloudfront.net/19684/16877534/tile.jpg',43.076136,-89.388801,2200,2750, '4 - 5 BR',312 N. Carroll,6083342010,yes,no,no,yes,yes,no,yes,yes,no,no,yes
2073158,'https://d2cc5bro5bu049.cloudfront.net/19684/17741867/tile.jpg',43.070361,-89.392957,1875,, '3 BR',532 W. Mifflin,6083342010,no,no,no,yes,yes,no,yes,yes,no,no,yes
3361392,'https://d2cc5bro5bu049.cloudfront.net/88438/28569486/tile.jpg',43.067366,-89.387836,990,, '1 BR',507 W Wilson St Rm 301,,no,no,no,yes,yes,no,no,yes,no,no,yes
760806,'https://d2cc5bro5bu049.cloudfront.net/19921/26470918/tile.jpg',43.074129,-89.511855,1070,, '2 BR',Heathercrest Apartments,6088367950,no,no,no,no,no,no,no,no,no,no,no
743509,'https://d2cc5bro5bu049.cloudfront.net/15264/6343221/tile.jpg',43.071539,-89.395495,700,900, 'Studio - 1 BR',Courtside Apartments,6082571000,yes,no,no,yes,yes,no,yes,yes,no,yes,yes
745162,'https://d2cc5bro5bu049.cloudfront.net/15264/6343616/tile.jpg',43.078811,-89.382631,740,, 'Studio',130 N. Hancock Street,6082571000,no,no,no,yes,yes,no,no,yes,no,no,no
743833,'https://d2cc5bro5bu049.cloudfront.net/15264/6343329/tile.jpg',43.076267,-89.379250,785,, 'Studio',106 S. Hancock Street,6082571000,no,no,no,yes,yes,no,no,yes,no,no,no
2496622,'https://d2cc5bro5bu049.cloudfront.net/17785/20667503/tile.jpg',43.068850,-89.414526,1895,2295, '3 - 4 BR',1618/1620 Chadbourne Ave,4146879184,no,no,no,no,no,no,no,yes,yes,yes,yes
3370211,'https://d2cc5bro5bu049.cloudfront.net/88599/28689922/tile.jpeg',43.077254,-89.393682,500,, '4 BR',210 Lakelawn Place,,no,no,no,no,yes,no,no,yes,no,no,yes
3370785,'https://d2cc5bro5bu049.cloudfront.net/15875/28698266/tile.jpg',43.066899,-89.404248,1500,2000, '3 - 4 BR',24/26 S Mills St,6082414449,yes,no,no,no,yes,no,no,yes,no,yes,yes
3370784,'https://d2cc5bro5bu049.cloudfront.net/15875/28698146/tile.jpg',43.066027,-89.409320,2895,, '5 BR',114 S. Randall Ave,6082414449,no,no,no,no,no,no,no,yes,no,yes,yes
748770,'https://d2cc5bro5bu049.cloudfront.net/15875/27765888/tile.jpg',43.084671,-89.378190,1675,, '4 BR',403 Washburn Pl,6082414449,no,no,no,no,yes,no,yes,yes,no,no,no
3360557,'https://d2cc5bro5bu049.cloudfront.net/88422/28558501/tile.jpg',43.063306,-89.402905,1575,, '3 BR',1010 Vilas Ave,6086287780,no,no,no,no,no,no,no,no,no,yes,yes
3221442,'https://d2cc5bro5bu049.cloudfront.net/15875/26856220/tile.jpg',43.069687,-89.385915,1500,, '3 BR',348 W Wilson St,6082414449,yes,no,no,yes,yes,no,no,yes,no,no,no
