Longitude,Latitude,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,Route,primary_street,address_range,cross_location
-89.35162912,43.10693142,6686,1394,1394,Commercial & North (WB),This stop (#1394) is westbound on the 2498 block of Commercial Ave farside North St,43.106929,-89.35163,"4, 27, 56, 57",Commercial,2498,North
-89.37940918,43.08205337,6687,1397,1397,E Johnson & N Blount (EB),This stop (#1397) is eastbound on the 701 block of Johnson St (e) farside Blount St (n),43.082051,-89.37941,"2, 5, 10, 27, 28, 81",E Johnson,701,N Blount
-89.34890116,43.09341942,6688,1398,1398,Atwood & Evergreen (WB),This stop (#1398) is westbound on the 2298 block of Atwood Ave farside Evergreen Ave,43.093417,-89.348902,"3, 7, 37, 38",Atwood,2298,Evergreen
-89.38417619,43.07992436,6689,1404,1404,N Hamilton & E Gorham (SB),This stop (#1404) is southbound on the 398 block of Hamilton St (n) farside Gorham St (e),43.079922,-89.384177,"2, 5",N Hamilton,398,E Gorham
-89.36183911,43.11151141,6690,1410,1410,Roth & Ruskin (WB),This stop (#1410) is westbound on the 1798 block of Roth St farside Ruskin St,43.111509,-89.36184,22,Roth,1798,Ruskin
-89.36259916,43.0901134,6691,1412,1412,E Washington & Yahara (WB),This stop (#1412) is westbound on the 1850 block of E Washington Ave adjacent Yahara River,43.090111,-89.3626,"6, 14, 15, 27, 29, 37, 56, 57",E Washington,1850,Yahara
-89.33114614,43.10173444,6692,1420,1420,N Fair Oaks & Chicago (SB),This stop (#1420) is southbound on the 200 block of Fair Oaks Ave (n) nearside Chicago Ave,43.101732,-89.331147,"17, 34",N Fair Oaks,200,Chicago
-89.35435812,43.10709342,6693,1427,1427,Packers & Commercial (NB),This stop (#1427) is northbound on the 601 block of Packers Ave farside Commercial Ave,43.107091,-89.354359,"4, 27, 29, 56, 57",Packers,601,Commercial
-89.35144412,43.10671642,6694,1435,1435,Commercial & North (EB),This stop (#1435) is eastbound on the 2499 block of Commercial Ave nearside North St,43.106714,-89.351445,"4, 27, 56, 57",Commercial,2499,North
-89.33266815,43.09960444,6695,1437,1437,Milwaukee & S Fair Oaks (EB),This stop (#1437) is eastbound on the 3399 block of Milwaukee St nearside Fair Oaks Ave (s),43.099602,-89.332669,"5, 14, 15",Milwaukee,3399,S Fair Oaks
-89.33884016,43.09128243,6696,1441,1441,Oakridge & Welch (EB),This stop (#1441) is eastbound on the 3199 block of Oakridge Ave nearside Welch Ave,43.09128,-89.338841,38,Oakridge,3199,Welch
-89.35704618,43.0856704,6697,1447,1447,Rogers & Spaight (NB),This stop (#1447) is northbound on the 601 block of Rogers St nearside Spaight St,43.085668,-89.357047,"3, 38",Rogers,601,Spaight
-89.34711417,43.09045442,6698,1457,1457,Oakridge & Evergreen (EB),This stop (#1457) is eastbound on the 2311 block of Oakridge Ave farside Evergreen Ave,43.090452,-89.347115,38,Oakridge,2311,Evergreen
-89.33250715,43.09981044,6699,1462,1462,Milwaukee & N Fair Oaks (WB),This stop (#1462) is westbound on the 3398 block of Milwaukee St farside Fair Oaks Ave (n),43.099808,-89.332508,"5, 14, 15",Milwaukee,3398,N Fair Oaks
-89.3788582,43.07473037,6700,1468,1468,King & E Wilson (WB),This stop (#1468) is westbound on the 298 block of King St farside Wilson St (e),43.074728,-89.378859,7,King,298,E Wilson
